,Names,Date,Month,Location,Notes,Link
49,LA Hacks,Apr 21st - 23rd,Apr,"
          Los Angeles,
          California
        ",in_person,https://lahacks.com
50,Hack The Runway,Jul 15th - 17th,Jul,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8200-hack-the-runway
51,SelfieHacks II,Jul 15th - 17th,Jul,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8324-selfiehacks-ii
52,Data Day Grind III,Jul 22nd - 24th,Jul,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8332-data-day-grind-3-0
53,Hacky Birthday MLH,Jul 22nd - 24th,Jul,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8201-hacky-birthday-mlh
54,Backyard Hacks 3,Jul 29th - 31st,Jul,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8202-backyard-hacks-3
55,Hacking Birthday Bash,Jul 29th - 31st,Jul,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8331-hacking-birthday-bash
56,Hack With a Crew,Aug 5th - 7th,Aug,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8203-hack-with-a-crew
57,KU HackFest 2022,Aug 5th - 7th,Aug,"
          Everywhere,
          Worldwide
        ","Hybrid, Digital Focus",https://www.kuhackfest.com
58,WildHacks II,Aug 5th - 7th,Aug,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8333-wildhacks-ii
59,RDV Hacks,Aug 6th - 7th,Aug,"
          New York City,
          New York
        ",in_person,https://university.roughdraft.vc/rdv-hacks
60,AbracadabraHacks II,Aug 12th - 14th,Aug,"
          North America Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8204-houdinihacks-ii
61,Garuda Hacks 3.0,Aug 12th - 14th,Aug,"
          Everywhere,
          Worldwide
        ",online,http://garudahacks.com/
62,Snakes and Hackers II,Aug 12th - 14th,Aug,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8334-snakes-and-hackers-ii
63,A Hack A Day 2,Aug 19th - 21st,Aug,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8398-a-hack-a-day-2
64,Hack'n Jill,Aug 19th - 21st,Aug,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8395-hack-n-jill-na-edition
65,Hack the 6ix,Aug 19th - 21st,Aug,"
          Everywhere,
          Worldwide
        ",online,https://hackthe6ix.com/
66,Hack JKLU,Aug 20th - 21st,Aug,"
          Jaipur,
          Rajasthan
        ",in_person,https://hackjklu.xyz/
67,EcoHacks ,Sep 2nd - 4th,Sep,"
          Fremont,
          California
        ",online,https://www.ecohacks.net/
68,Hack Girl Summer 3,Sep 2nd - 4th,Sep,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8396-hack-n-jill-apac-edition
69,Hack to School,Sep 2nd - 4th,Sep,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8397-hack-to-school
70,MesoHacks,Sep 2nd - 4th,Sep,"
          Everywhere,
          Worldwide
        ","Hybrid, Digital Focus",https://www.mesohacks.co/
71,PennApps XXIII,Sep 2nd - 4th,Sep,"
          Philadelphia,
          Pennsylvania
        ",in_person,https://pennapps.com
72,MedHacks,Sep 9th - 11th,Sep,"
          Baltimore,
          Maryland
        ",in_person,http://medhacks.io/
73,ShellHacks ,Sep 9th - 11th,Sep,"
          Miami,
          Florida
        ",hybrid,https://shellhacks.net/
74,AutumnnHacks,Sep 10th - 12th,Sep,"
          Everywhere,
          Worldwide
        ",online,https://heartsoflove.github.io/autumnnhacks/
75,Global Hack Week September,Sep 10th - 17th,Sep,"
          Everywhere,
          Worldwide
        ",online,https://organize.mlh.io/participants/events/7951-global-hack-week-september-2022
76,Hackodisha 2.0,Sep 10th - 11th,Sep,"
          Everywhere,
          Worldwide
        ","Hybrid, Digital Focus",https://hackodisha2022.tech/
77,HackSMU IV,Sep 16th - 18th,Sep,"
          Dallas,
          Texas
        ",in_person,http://hacksmu.org/
78,Hack the North,Sep 16th - 18th,Sep,"
          Waterloo,
          Canada
        ",in_person,https://hackthenorth.com/
79,Hacktoon 2,Sep 16th - 18th,Sep,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8414-hacktoon-2
80,Hophacks,Sep 16th - 18th,Sep,"
          Baltimore,
          Maryland
        ",in_person,http://hophacks.com/
81,Impractical Hackers 2,Sep 16th - 18th,Sep,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8405-impractical-hackers-2
82,Hack The Mountains 3.O,Sep 17th - 18th,Sep,"
          Faridabad,
          Delhi
        ",hybrid,https://www.hackthemountain.tech/
83,DivHacks,Sep 23rd - 24th,Sep,"
          New York City,
          New York
        ",in_person,https://columbiadivhacks.com/
84,Hack And Wellness 2,Sep 23rd - 25th,Sep,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8399-hack-and-wellness-2
85,HackRice 12,Sep 23rd - 25th,Sep,"
          Houston,
          Texas
        ",in_person,https://hack.rice.edu/
86,Paradigm Conf,Sep 23rd - 25th,Sep,"
          Everywhere,
          Worldwide
        ",online,https://esolangconf.com/
87,SBUHacks,Sep 23rd - 25th,Sep,"
          Stony Brook,
          New York
        ",in_person,https://sbuhacks.org/
88,Teacher's Hack 2,Sep 23rd - 25th,Sep,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8400-teacher-s-hack-2
89,HackMTY,Sep 24th - 25th,Sep,"
          Monterrey,
          Mexico
        ",in_person,https://hackmty.com
